Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
金奈儿,童装, 13 , 0.4 ,3.2%,2019,2019,2019/1/1-2019/12/31,亿元,002875.SZ,YES,ht tp://www.cninfo.com.cn
金奈儿,童装, 12 , 0.8 ,6.9%,2018,2018,2018/1/1-2018/12/31,亿元,002875.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2019/2019-3/2019-03-27/5116677.PDF
金奈儿,童装, 10 , 0.7 ,6.7%,2017,2017,2017/1/1-2017/12/31,亿元,002875.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-27/4154484.PDF
金奈儿,童装, 9 , 0.8 ,8.6%,2016,2016,2016/1/1-2016/12/31,亿元,002875.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-27/4154484.PDF
金发拉比,童装, 4 , 0.5 ,10.6%,2019,2019,2019/1/1-2019/12/31,亿元,002762.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-31/4185268.PDF
金发拉比,童装, 5 , 0.4 ,8.7%,2018,2018,2018/1/1-2018/12/31,亿元,002762.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-31/4185268.PDF
金发拉比,童装, 4 , 0.9 ,21.3%,2017,2017,2017/1/1-2017/12/31,亿元,002762.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-31/4185268.PDF
金发拉比,童装, 4 , 0.7 ,18.9%,2016,2016,2016/1/1-2016/12/31,亿元,002762.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-31/4185268.PDF
都市丽人,内衣, 41 , -13.0 ,-31.8%,2019,2019,2019/1/1-2019/12/31,亿元,2298.HK,YES,http://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900028905&stockCode=02298&announcementId=1206217619&announcementTime=2019-04-29 23:59
都市丽人,内衣, 51 , 4.1 ,8.1%,2018,2018,2018/1/1-2018/12/31,亿元,2298.HK,YES,http://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900028905&stockCode=02298&announcementId=1206217619&announcementTime=2019-04-29 23:59
都市丽人,内衣, 45 , 3.0 ,6.6%,2017,2017,2017/1/1-2017/12/31,亿元,2298.HK,YES,http://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900028905&stockCode=02298&announcementId=1203403687&announcementTime=2017-04-26 16:45
都市丽人,内衣, 45 , 2.4 ,5.4%,2016,2016,2016/1/1-2016/12/31,亿元,2298.HK,YES,http://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900028905&stockCode=02298&announcementId=1203403687&announcementTime=2017-04-26 16:45
汇洁集团,内衣, 26 , 2.1 ,8.1%,2019,2019,2019/1/1-2019/12/31,亿元,002763.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202004231378466633_1.pdf
汇洁集团,内衣, 24 , 2.0 ,8.3%,2018,2018,2018/1/1-2018/12/31,亿元,002763.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201904241322118114_1.pdf
汇洁集团,内衣, 21 , 2.4 ,11.2%,2017,2017,2017/1/1-2017/12/31,亿元,002763.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804191126481735_1.pdf
汇洁集团,内衣, 20 , 2.0 ,9.7%,2016,2016,2016/1/1-2016/12/31,亿元,002763.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804191126481735_1.pdf
南极电商,内衣, 39 , 12.1 ,30.9%,2019,2019,2019/1/1-2019/12/31,亿元,002127.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2020/2020-4/2020-04-16/6044596.PDF
南极电商,内衣, 34 , 8.9 ,26.5%,2018,2018,2018/1/1-2018/12/31,亿元,002127.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2020/2020-4/2020-04-16/6044596.PDF
