Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
顾家家居,居家, 111 , 12.2 ,11.0%,2019,2019,2019/1/1-2019/12/31,亿元,603816.SH,YSE,https://kuka-life.oss-cn-hangzhou.aliyuncs.com/shop/2020/05/06/2ea9a4ab33b94defb02a0db7514aa1cd.pdf
顾家家居,居家, 92 , 10.1 ,11.0%,2018,2018,2018/1/1-2018/12/31,亿元,603816.SH,YSE,https://kuka-life.oss-cn-hangzhou.aliyuncs.com/shop/2020/03/17/69400cdf6b4f422e83ac7f1bc2c15f5c.pdf
顾家家居,居家, 67 , 8.3 ,12.5%,2017,2017,2017/1/1-2017/12/31,亿元,603816.SH,YSE,https://kuka-life.oss-cn-hangzhou.aliyuncs.com/shop/2020/03/17/bcd2a7a2dfde493aa4ef0eeb289ec02c.pdf
顾家家居,居家, 48 , 5.7 ,11.9%,2016,2016,2016/1/1-2016/12/31,亿元,603816.SH,YSE,https://kuka-life.oss-cn-hangzhou.aliyuncs.com/shop/2020/03/17/882a551e30894a74bbcdcf3f02e16566.pdf
喜临门,居家, 56 , 3.5 ,6.2%,2020,2020,2020/1/1-2020/12/31,亿元,603008.SH,YSE,https://www.sleemon.cn/uploadfiles/20210310/2021031016050100810.pdf
喜临门,居家, 49 , 4.1 ,8.5%,2019,2019,2019/1/1-2019/12/31,亿元,603008.SH,YSE,https://www.sleemon.cn/uploadfiles/20201203/2020120319083200573.pdf
喜临门,居家, 42 , -4.2 ,-10.1%,2018,2018,2018/1/1-2018/12/31,亿元,603008.SH,YSE,https://www.sleemon.cn/uploadfiles/20210115/2021011516292600486.pdf
喜临门,居家, 32 , 2.8 ,8.9%,2017,2017,2017/1/1-2017/12/31,亿元,603008.SH,YSE,https://www.sleemon.cn/uploadfiles/20210118/2021011809195600068.pdf
喜临门,居家, 22 , 2.0 ,9.2%,2016,2016,2016/1/1-2016/12/31,亿元,603008.SH,YSE,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2017/2017-4/2017-04-22/3284663.PDF
欧派,居家, 135 , 18.4 ,13.6%,2019,2019,2019/1/1-2019/12/31,亿元,603833.SH,YSE,http://nweb.oppein.com/upfile/2020/04/20200430160247_952.pdf
欧派,居家, 115 , 15.7 ,13.7%,2018,2018,2018/1/1-2018/12/31,亿元,603833.SH,YSE,http://nweb.oppein.com/upfile/2019/04/20190411085540_520.pdf
欧派,居家, 97 , 13.0 ,13.4%,2017,2017,2017/1/1-2017/12/31,亿元,603833.SH,NO,http://nweb.oppein.com/upfile/2018/04/20180419200729_118.pdf
欧派,居家, 71 , 9.4 ,13.2%,2016,2016,2016/1/1-2016/12/31,亿元,603833.SH,YSE,
欧普照明,居家, 84 , 10.4 ,12.4%,2019,2019,2019/1/1-2019/12/31,亿元,603515.SH,YSE,http://www.opple.com.cn/upload/1587957342.pdf
欧普照明,居家, 80 , 10.4 ,13.0%,2018,2018,2018/1/1-2018/12/31,亿元,603515.SH,YSE,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2019-04-23/603515_2018_n.pdf
欧普照明,居家, 70 , 6.8 ,9.8%,2017,2017,2017/1/1-2017/12/31,亿元,603515.SH,YSE,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-18/603515_2017_n.pdf
欧普照明,居家, 55 , 5.1 ,9.4%,2016,2016,2016/1/1-2016/12/31,亿元,603515.SH,YSE,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-18/603515_2016_n.pdf
佛山照明,居家, 33 , 3.0 ,9.1%,2019,2019,2019/1/1-2019/12/31,亿元,000541.SZ,YSE,https://www.chinafsl.com/light/upfile/2020/04/20200410113711_957.pdf
佛山照明,居家, 38 , 3.8 ,10.0%,2018,2018,2018/1/1-2018/12/31,亿元,000541.SZ,YSE,https://www.chinafsl.com/light/upfile/2019/03/20190329095430_345.pdf
佛山照明,居家, 38 , 7.5 ,19.6%,2017,2017,2017/1/1-2017/12/31,亿元,000541.SZ,YSE,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-3/2018-03-30/4170255.PDF
