Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
周大福,珠宝, 500 , 25.5 ,5.1%,2019,2019/2020,2019/4/1-2020/3/31,亿元,01929.HK,YES,http://ir.ctfjewellerygroup.com/ar2020_sc.pdf
周大福,珠宝, 562 , 38.6 ,6.9%,2018,2018/2019,2018/4/1-2019/3/31,亿元,01929.HK,YES,http://ir.ctfjewellerygroup.com/ar2020_sc.pdf
周大福,珠宝, 513 , 35.5 ,6.9%,2017,2017/2018,2017/4/1-2018/3/31,亿元,01929.HK,YES,http://ir.ctfjewellerygroup.com/ar2020_sc.pdf
周大福,珠宝, 438 , 26.1 ,6.0%,2016,2016/2017,2016/4/1-2017/3/31,亿元,01929.HK,YES,http://ir.ctfjewellerygroup.com/ar2020_sc.pdf
老凤祥,珠宝, 496 , 14.1 ,2.8%,2019,2019,2019/1/1-2019/12/31,亿元,600612.SH,YES,http://static.cninfo.com.cn/finalpage/2020-04-28/1207647610.PDF
老凤祥,珠宝, 438 , 12.0 ,2.8%,2018,2018,2018/1/1-2018/12/31,亿元,600612.SH,YES,http://static.cninfo.com.cn/finalpage/2019-04-26/1206098842.PDF
老凤祥,珠宝, 398 , 11.4 ,2.9%,2017,2017,2017/1/1-2017/12/31,亿元,600612.SH,YES,http://static.cninfo.com.cn/finalpage/2018-04-28/1204823473.PDF
老凤祥,珠宝, 350 , 10.6 ,3.0%,2016,2016,2016/1/1-2016/12/31,亿元,600612.SH,YES,http://static.cninfo.com.cn/finalpage/2017-04-28/1203418067.PDF
豫园股份,珠宝, 429 , 32.0 ,7.5%,2019,2019,2019/1/1-2019/12/31,亿元,600655.SH,YES,https://www.yuyuantm.com.cn/uploads/20200326161127/f.pdf
豫园股份,珠宝, 339 , 30.3 ,8.9%,2018,2018,2018/1/1-2018/12/31,亿元,600655.SH,YES,https://www.yuyuantm.com.cn/uploads/20191002210833/f.pdf
