Company,Category,Revenue,Operating_profit,Net_income,Operating_margin,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
LVMH,奢侈品," 3,324 ", 647 , 418 ,19%,13%,2017,2017,2017/1/1-2017/12/31,亿元,LVMUY.US,YES,https://r.lvmh-static.com/uploads/2017/11/lvmh_fy-2017-va.pdf
LVMH,奢侈品," 3,651 ", 780 , 495 ,21%,14%,2018,2018,2018/1/1-2018/12/31,亿元,LVMUY.US,YES,https://r.lvmh-static.com/uploads/2019/01/lvmh-fy-2018-va.pdf
LVMH,奢侈品," 4,185 ", 897 , 559 ,21%,13%,2019,2019,2019/1/1-2019/12/31,亿元,LVMUY.US,YES,https://r.lvmh-static.com/uploads/2020/01/lvmh-fy-2019-va.pdf
LVMH,奢侈品," 3,481 ", 622 , 367 ,18%,11%,2020,2020,2020/1/1-2020/12/31,亿元,LVMUY.US,YES,https://r.lvmh-static.com/uploads/2021/01/lvmh-fy-2020-va.pdf
Kering ,奢侈品, 843 , 197 , 139 ,23%,17%,2017,2017,2017/1/1-2017/12/31,亿元,PPRUY.US,YES,https://keringcorporate.dam.kering.com/m/2810e82e7d0ed5e7/original/2017-Reference-Document.pdf
Kering ,奢侈品," 1,065 ", 290 , 290 ,27%,27%,2018,2018,2018/1/1-2018/12/31,亿元,PPRUY.US,YES,https://keringcorporate.dam.kering.com/m/7a57d2f917ef38a2/original/2018-Reference-Document.pdf
Kering ,奢侈品," 1,238 ", 359 , 180 ,29%,15%,2019,2019,2019/1/1-2019/12/31,亿元,PPRUY.US,YES,https://keringcorporate.dam.kering.com/m/4727d00d80ab511e/original/2019-Universal-Registration-Document-.pdf
Kering ,奢侈品," 1,021 ", 257 , 168 ,25%,16%,2020,2020,2020/1/1-2020/12/31,亿元,PPRUY.US,YES,https://keringcorporate.dam.kering.com/m/57a7ad2619884844/original/KERING_Document_Financier_2020_Production_UK.pdf
Hermes,奢侈品, 433 , 150 , 95 ,35%,22%,2017,2017,2017/1/1-2017/12/31,亿元,HESAY.US,YES,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2020-06/hermes_2017_rapportannuel_en.pdf
Hermes,奢侈品, 465 , 166 , 110 ,36%,24%,2018,2018,2018/1/1-2018/12/31,亿元,HESAY.US,YES,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2020-06/hermes_2018_rapportannuel_en.pdf
Hermes,奢侈品, 537 , 182 , 119 ,34%,22%,2019,2019,2019/1/1-2019/12/31,亿元,HESAY.US,YES,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2020-07/1595280621/hermesinternational-urd-2019-en.pdf
Hermes,奢侈品, 498 , 162 , 108 ,32%,22%,2020,2020,2020/1/1-2020/12/31,亿元,HESAY.US,YES,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2021-03/1615283872/hermes_20210219_presentation-ea_en.pdf
Prada,奢侈品, 214 , 25 , 17 ,12%,8%,2017,2017,2017/1/1-2017/12/31,亿元,PRDSY.US,YES,https://www.pradagroup.com/content/dam/pradagroup/documents/Shareholderinformation/2018/inglese/e-Annual%20Report%202017.pdf
Prada,奢侈品, 245 , 25 , 16 ,10%,7%,2018,2018,2018/1/1-2018/12/31,亿元,PRDSY.US,YES,https://www.pradagroup.com/content/dam/pradagroup/documents/Shareholderinformation/2019/inglese/e-Annual%20Report%202018.pdf
Prada,奢侈品, 251 , 24 , 20 ,10%,8%,2019,2019,2019/1/1-2019/12/31,亿元,PRDSY.US,YES,https://www.pradagroup.com/content/dam/pradagroup/documents/Shareholderinformation/2020/inglese/april/e-prada%202019AR.pdf
Prada,奢侈品, 189 , 2 , -4 ,1%,-2%,2020,2020,2020/1/1-2020/12/31,亿元,PRDSY.US,YES,https://www.pradagroup.com/content/dam/pradagroup/documents/2021/FY_2020/inglese/Prada%20S.p.A.%20FY%202020%20Results%20Presentation.pdf
Richemont,奢侈品, 859 , 144 , 95 ,17%,11%,2017,2018/2017,2017/4/1-2018/3/31,亿元,CFRUY.US,YES,https://www.richemont.com/media/dnob454y/annual-report-2018.pdf
Richemont,奢侈品," 1,091 ", 151 , 217 ,14%,20%,2018,2019/2018,2018/4/1-2019/3/31,亿元,CFRUY.US,YES,https://www.richemont.com/media/2ybmlfdl/annual-report-2019.pdf
Richemont,奢侈品," 1,110 ", 118 , 73 ,11%,7%,2019,2019/2020,2019/4/1-2020/3/31,亿元,CFRUY.US,YES,https://www.richemont.com/media/qbehirls/rar-2020_27may.pdf
Tiffany & Co,奢侈品, 273 , 53 , 24 ,19%,9%,2017,2018/2017,2017/2/1-2018/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/financial-information
Tiffany & Co,奢侈品, 291 , 52 , 38 ,18%,13%,2018,2019/2018,2018/2/1-2019/1/31,亿元,TIF.US,YES,https://cn.investing.com/equities/tiffany---co-financial-summary
Tiffany & Co,奢侈品, 290 , 48 , 35 ,17%,12%,2019,2019/2020,2019/2/1-2020/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/static-files/31f6f35f-4107-4943-aa6e-a2010e6f551a
Tapestry Inc,奢侈品, 385 , 44 , 26 ,11%,7%,2017,2018/2017,2017/6/1-2018/7/1,亿元,TPR.US,YES,https://www.sec.gov/Archives/edgar/data/0001116132/000111613218000021/tpr6302018-10k.htm
Tapestry Inc,奢侈品, 394 , 53 , 42 ,14%,11%,2018,2019/2018,2018/7/1-2019/6/29,亿元,TPR.US,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001116132/000111613219000016/tpr6302018-10k1.htm
Tapestry Inc,奢侈品, 325 , -36 , -43 ,-11%,-13%,2019,2019/2020,2019/6/1-2020/6/27,亿元,TPR.US,YES,https://tapestry.gcs-web.com/static-files/211db552-8b97-460b-b24b-e4ba34780d31
Burberry,奢侈品, 246 , 37 , 26 ,15%,11%,2017,2018/2017,2017/4/1-2018/3/31,亿元,BURBY.US,YES,https://www.burberryplc.com/content/dam/burberry/corporate/Investors/Results_Reports/2018/Burberry_AnnualReport_FY17-18.pdf.downloadasset.pdf
Burberry,奢侈品, 245 , 39 , 31 ,16%,12%,2018,2019/2018,2018/4/1-2019/3/31,亿元,BURBY.US,YES,https://www.burberryplc.com/content/dam/burberry/corporate/Investors/Annual_Report/BURBERRY_Annual_Report_2019_Web.pdf.downloadasset.pdf
Burberry,奢侈品, 237 , 17 , 11 ,7%,5%,2019,2019/2020,2019/4/1-2020/3/28,亿元,BURBY.US,YES,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2020/pdf/Burberry_Annual_Report_2019-20.pdf.downloadasset.pdf
Ferragamo,奢侈品, 109 , 15 , 9 ,13%,9%,2017,2017,2017/1/1-2017/12/31,亿元,SFRGY.US,YES,https://group.ferragamo.com/wps/wcm/connect/c8d714bc-5afd-4327-9ac1-cc096e485bd7/Annual+Report+as+at+31.12.2017.pdf?MOD=AJPERES&CACHEID=c8d714bc-5afd-4327-9ac1-cc096e485bd7
Ferragamo,奢侈品, 105 , 12 , 7 ,11%,7%,2018,2018,2018/1/1-2018/12/31,亿元,SFRGY.US,YES,https://group.ferragamo.com/wps/wcm/connect/613a2368-6d62-437b-9bea-aa49786eb954/Annual+Report+as+at+31+December+2018.pdf?MOD=AJPERES&CACHEID=613a2368-6d62-437b-9bea-aa49786eb954
Ferragamo,奢侈品, 107 , 12 , 7 ,11%,6%,2019,2019,2019/1/1-2019/12/31,亿元,SFRGY.US,YES,https://group.ferragamo.com/wps/wcm/connect/2f2d90f1-eb91-4720-b1da-8a20e98f440d/Annual+Report+as+at+31+December+2019.pdf?MOD=AJPERES&CACHEID=2f2d90f1-eb91-4720-b1da-8a20e98f440d
SMCP,奢侈品, 77 , 7 , 3 ,9%,4%,2017,2017,2017/1/1-2017/12/31,亿元,SMCP,YES,https://www.smcp.com/app/uploads/2018/11/smcp-2017-registration-document-vfinale-pdf.pdf
SMCP,奢侈品, 79 , 9 , 4 ,11%,5%,2018,2018,2018/1/1-2018/12/31,亿元,SMCP,YES,https://www.smcp.com/app/uploads/2019/04/smcp-2018-regsitration-document-2.pdf
SMCP,奢侈品, 88 , 8 , 3 ,9%,4%,2019,2019,2019/1/1-2019/12/31,亿元,SMCP,YES,https://www.smcp.com/app/uploads/2020/04/smcp-document-denregistrement-universel-2019-en-version-finale.pdf
Capri,奢侈品, 309 , 49 , 39 ,16%,13%,2017,2017/2018,2017/4/1-2018/3/31,亿元,CPRI.US,YES,https://www.sec.gov/Archives/edgar/data/0001530721/000153072118000035/kors0331201810-k.htm
Capri,奢侈品, 343 , 48 , 36 ,14%,10%,2018,2018/2019,2018/4/1-2019/3/31,亿元,CPRI.US,YES,https://www.sec.gov/Archives/edgar/data/0001530721/000153072119000023/cpri0330201910-k.htm
Capri,奢侈品, 363 , -13 , -15 ,-3%,-4%,2019,2019/2020,2019/4/1-2020/3/31,亿元,CPRI.US,YES,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001530721/000153072120000062/cpri-20200328.htm
