Company,category,Revenue,Operating_Profit,Net_income,Operating_margin,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
欧莱雅,美妆," 2,205 ", 410 , -   ,18.6%,0.0%,2020,2020,2020/1/1-2020/12/31,亿元,PINK:LRLCY,YES,https://www.loreal-finance.com/eng/news-release/2020-annual-results
欧莱雅,美妆," 2,308 ", 429 , -   ,18.6%,0.0%,2019,2019,2019/1/1-2019/12/31,亿元,PINK:LRLCY,YES,https://www.loreal-finance.com/eng/news-release/2019-annual-results
欧莱雅,美妆," 2,102 ", 384 , -   ,18.3%,0.0%,2018,2018,2018/1/1-2018/12/31,亿元,PINK:LRLCY,YES,https://www.loreal-finance.com/eng/news-release/2018-annual-results
欧莱雅,美妆," 1,986 ", 357 , -   ,18.0%,0.0%,2017,2017,2017/1/1-2017/12/31,亿元,PINK:LRLCY,YES,https://www.loreal-finance.com/eng/news-release/2017-annual-results
雅诗兰黛,美妆, 986 , 144 , 40 ,14.6%,4.1%,2020,2019/2020,2019/7/1-2020/6/30,亿元,NYSE:EL,YES,https://media.elcompanies.com/files/e/estee-lauder-companies/universal/investors/investor-resources/toolkit/form-10k-200820-a.pdf
雅诗兰黛,美妆," 1,025 ", 180 , 114 ,17.5%,11.1%,2019,2018/2019,2018/7/1-2019/6/30,亿元,NYSE:EL,YES,https://media.elcompanies.com/files/e/estee-lauder-companies/universal/investors/investor-resources/toolkit/form-10k-200820-a.pdf
雅诗兰黛,美妆, 906 , 149 , 79 ,16.5%,8.7%,2018,2017/2018,2017/7/1-2018/6/30,亿元,NYSE:EL,YES,https://media.elcompanies.com/files/e/estee-lauder-companies/universal/investors/investor-resources/toolkit/form-10k-200820-a.pdf
雅诗兰黛,美妆, 798 , 127 , -   ,15.9%,,2017,2016/2017,2016/7/1-2017/6/30,亿元,NYSE:EL,YES,https://media.elcompanies.com/files/e/estee-lauder-companies/universal/news-and-media/media-resources/resources-and-reports/reports/elc-annual-report-2017.pdf?_gl=1*8snc8z*_ga*OTU3MTU3MTk1LjE2MDkzMjIwMTU.*_ga_V9QZ4PSDRY*MTYxMzgwNzY5OC4yLjEuMTYxMzgwODA4Ni40Ng..
资生堂,美妆, 595 , 10 , -8 ,1.6%,-1.3%,2020,2020,2020/1/1-2020/12/31,亿元,TSE:4911,YES,https://corp.shiseido.com/en/ir/pdf/ir20210209_765.pdf
资生堂,美妆, 717 , 72 , 47 ,10.1%,6.5%,2019,2019,2019/1/1-2019/12/31,亿元,TSE:4911,YES,https://corp.shiseido.com/en/ir/pdf/ir20200206_692.pdf
